Grade;original_firstorder_10Percentile;original_firstorder_90Percentile;original_firstorder_Energy;original_firstorder_Entropy;original_firstorder_InterquartileRange;original_firstorder_Kurtosis;original_firstorder_Maximum;original_firstorder_MeanAbsoluteDeviation;original_firstorder_Mean;original_firstorder_Median;original_firstorder_Minimum;original_firstorder_Range;original_firstorder_RobustMeanAbsoluteDeviation;original_firstorder_RootMeanSquared;original_firstorder_Skewness;original_firstorder_TotalEnergy;original_firstorder_Uniformity;original_firstorder_Variance;original_gldm_DependenceEntropy;original_gldm_DependenceNonUniformity;original_gldm_DependenceNonUniformityNormalized;original_gldm_DependenceVariance;original_gldm_GrayLevelNonUniformity;original_gldm_GrayLevelVariance;original_gldm_HighGrayLevelEmphasis;original_gldm_LargeDependenceEmphasis;original_gldm_LargeDependenceHighGrayLevelEmphasis;original_gldm_LargeDependenceLowGrayLevelEmphasis;original_gldm_LowGrayLevelEmphasis;original_gldm_SmallDependenceEmphasis;original_gldm_SmallDependenceHighGrayLevelEmphasis;original_gldm_SmallDependenceLowGrayLevelEmphasis;original_glcm_Autocorrelation;original_glcm_ClusterProminence;original_glcm_ClusterShade;original_glcm_ClusterTendency;original_glcm_Contrast;original_glcm_Correlation;original_glcm_DifferenceAverage;original_glcm_DifferenceEntropy;original_glcm_DifferenceVariance;original_glcm_Id;original_glcm_Idm;original_glcm_Idmn;original_glcm_Idn;original_glcm_Imc1;original_glcm_Imc2;original_glcm_InverseVariance;original_glcm_JointAverage;original_glcm_JointEnergy;original_glcm_JointEntropy;original_glcm_MCC;original_glcm_MaximumProbability;original_glcm_SumAverage;original_glcm_SumEntropy;original_glcm_SumSquares;original_glrlm_GrayLevelNonUniformity;original_glrlm_GrayLevelNonUniformityNormalized;original_glrlm_GrayLevelVariance;original_glrlm_HighGrayLevelRunEmphasis;original_glrlm_LongRunEmphasis;original_glrlm_LongRunHighGrayLevelEmphasis;original_glrlm_LongRunLowGrayLevelEmphasis;original_glrlm_LowGrayLevelRunEmphasis;original_glrlm_RunEntropy;original_glrlm_RunLengthNonUniformity;original_glrlm_RunLengthNonUniformityNormalized;original_glrlm_RunPercentage;original_glrlm_RunVariance;original_glrlm_ShortRunEmphasis;original_glrlm_ShortRunHighGrayLevelEmphasis;original_glrlm_ShortRunLowGrayLevelEmphasis;original_glszm_GrayLevelNonUniformity;original_glszm_GrayLevelNonUniformityNormalized;original_glszm_GrayLevelVariance;original_glszm_HighGrayLevelZoneEmphasis;original_glszm_LargeAreaEmphasis;original_glszm_LargeAreaHighGrayLevelEmphasis;original_glszm_LargeAreaLowGrayLevelEmphasis;original_glszm_LowGrayLevelZoneEmphasis;original_glszm_SizeZoneNonUniformity;original_glszm_SizeZoneNonUniformityNormalized;original_glszm_SmallAreaEmphasis;original_glszm_SmallAreaHighGrayLevelEmphasis;original_glszm_SmallAreaLowGrayLevelEmphasis;original_glszm_ZoneEntropy;original_glszm_ZonePercentage;original_glszm_ZoneVariance;original_ngtdm_Busyness;original_ngtdm_Coarseness;original_ngtdm_Complexity;original_ngtdm_Contrast;original_ngtdm_Strength
0.00;107.00;114.00;19622910.00;0.01;4.00;3.13;120.00;2.44;110.81;111.00;99.00;21.00;1.76;110.85;-0.36;19622910.00;1.00;9.27;0.73;1263.05;0.79;0.77;1595.00;0.00;4.00;76.82;307.30;19.21;0.25;0.01;0.06;0.00;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.00;1.00;1.00;1.00;1.00;0.00;0.00;0.00;2.00;1.00;0.01;0.00;1.00;4.00;0.01;0.00;53.79;0.96;0.02;3.94;983.63;3934.48;245.92;0.26;3.87;4.82;0.09;0.03;99.78;0.03;0.06;0.02;1.00;0.50;0.25;2.50;1273608.50;5094432.50;318402.50;0.63;1.00;0.50;0.50;0.50;0.50;1.00;0.00;636006.25;0.28;0.90;0.00;0.00;0.94
1.00;49.00;79.00;127731429.00;1.06;13.00;3.27;105.00;8.97;59.85;56.00;29.00;76.00;6.12;60.92;0.87;127731429.00;0.59;129.21;1.99;25146.90;0.73;1.21;20366.26;0.25;4.43;75.30;336.17;22.37;0.31;0.02;0.07;0.01;4.42;3.68;0.14;0.96;0.03;0.93;0.03;0.22;0.03;0.98;0.98;1.00;0.99;-0.79;0.90;0.03;2.05;0.57;1.28;0.95;0.73;4.10;1.25;0.25;675.33;0.40;0.46;4.00;1409.42;6226.28;364.85;0.45;6.36;113.39;0.07;0.05;943.15;0.22;0.80;0.12;43.64;0.38;0.61;3.49;3612731.76;15424523.56;902211.29;0.60;12.76;0.11;0.28;0.90;0.17;4.94;0.00;3523190.30;53.56;0.00;0.24;0.00;0.01
0.00;124.00;136.00;56860483.00;0.52;6.00;3.00;147.00;3.78;130.74;131.00;117.00;30.00;2.86;130.83;-0.07;56860483.00;0.79;22.39;1.98;1750.96;0.53;2.12;2638.17;0.10;3.65;69.88;262.44;21.75;0.34;0.02;0.06;0.01;3.61;0.85;-0.49;0.35;0.06;0.69;0.06;0.34;0.06;0.97;0.97;0.99;0.98;-0.43;0.60;0.06;1.88;0.73;0.82;0.69;0.85;3.76;0.76;0.10;173.23;0.54;0.23;2.94;257.47;1004.87;70.63;0.52;4.95;26.91;0.08;0.10;141.85;0.24;0.53;0.17;12.45;0.57;0.22;1.95;201280.91;794312.59;53022.99;0.76;3.18;0.14;0.27;0.52;0.20;3.54;0.01;178479.91;32.14;0.01;0.06;0.01;0.01
1.00;62.00;85.00;250502695.00;0.98;10.00;4.11;115.00;7.09;71.79;71.00;45.00;70.00;4.54;72.40;0.82;250502695.00;0.56;88.59;2.09;32016.55;0.67;1.48;26530.18;0.24;5.68;73.74;410.58;15.31;0.21;0.02;0.10;0.00;5.65;2.07;0.80;0.92;0.05;0.90;0.05;0.29;0.05;0.97;0.97;1.00;0.99;-0.70;0.86;0.05;2.33;0.51;1.27;0.90;0.65;4.66;1.22;0.24;1344.00;0.45;0.36;6.83;1040.73;5135.61;233.36;0.18;6.00;234.82;0.08;0.06;757.25;0.22;1.67;0.04;65.51;0.36;0.57;7.80;2786698.53;13062458.53;643542.03;0.19;20.38;0.11;0.29;2.34;0.06;5.22;0.00;2716225.98;110.29;0.00;0.34;0.00;0.01
0.00;155.00;159.00;45174862.00;0.00;3.00;3.17;165.00;1.58;156.80;157.00;151.00;14.00;1.10;156.82;0.30;45174862.00;1.00;3.98;0.69;1478.43;0.80;0.70;1837.00;0.00;1.00;77.14;77.14;77.14;1.00;0.01;0.01;0.01;1.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;1.00;1.00;1.00;0.00;0.00;0.00;1.00;1.00;0.00;1.00;1.00;2.00;0.00;0.00;59.00;1.00;0.00;1.00;1155.95;1155.95;1155.95;1.00;3.90;4.73;0.08;0.03;98.81;0.00;0.00;0.00;1.00;1.00;0.00;1.00;3374569.00;3374569.00;3374569.00;1.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1000000.00;0.00;0.00;0.00
1.00;83.00;99.00;151209612.00;0.44;9.00;2.48;107.00;4.83;91.76;92.00;71.00;36.00;3.78;91.94;-0.22;151209612.00;0.84;34.52;1.41;12381.89;0.69;1.48;15002.47;0.08;4.43;74.21;317.84;17.99;0.24;0.02;0.09;0.00;4.39;0.75;0.40;0.27;0.04;0.72;0.04;0.26;0.04;0.98;0.98;1.00;0.99;-0.49;0.58;0.04;2.08;0.80;0.65;0.72;0.89;4.17;0.60;0.08;525.28;0.50;0.26;6.15;1328.69;5364.91;330.82;0.20;5.37;96.11;0.09;0.06;1013.90;0.26;1.87;0.05;53.16;0.72;0.24;8.07;3582013.15;14358657.59;894655.18;0.16;6.76;0.09;0.27;2.16;0.04;4.59;0.00;3523586.42;53.51;0.00;0.17;0.00;0.01
0.00;107.00;114.00;18719028.00;0.00;5.00;1.93;118.00;2.66;110.28;110.00;102.00;16.00;2.25;110.32;-0.09;18719028.00;1.00;8.86;0.94;1104.94;0.72;1.05;1538.00;0.00;1.00;75.09;75.09;75.09;1.00;0.01;0.01;0.01;1.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;1.00;1.00;1.00;0.00;0.00;0.00;1.00;1.00;0.00;1.00;1.00;2.00;0.00;0.00;76.00;1.00;0.00;1.00;490.22;490.22;490.22;1.00;3.33;8.65;0.12;0.05;36.53;0.01;0.01;0.01;2.00;1.00;0.00;1.00;591361.00;591361.00;591361.00;1.00;2.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1000000.00;0.00;0.00;0.00
1.00;55.00;95.00;404294612.00;1.25;31.00;1.67;106.00;14.12;76.60;76.00;43.00;63.00;11.96;78.23;-0.19;404294612.00;0.46;252.44;2.08;50450.38;0.76;1.07;30380.89;0.34;6.60;75.98;500.04;15.35;0.20;0.02;0.11;0.00;6.59;4.37;-0.72;1.34;0.03;0.96;0.03;0.18;0.03;0.99;0.99;1.00;0.99;-0.85;0.94;0.03;2.50;0.44;1.44;0.97;0.51;5.00;1.41;0.34;1006.37;0.35;0.61;6.93;1646.32;11443.95;291.76;0.24;6.76;165.79;0.06;0.04;1039.62;0.20;1.66;0.05;53.42;0.30;0.99;9.99;4909859.81;35112485.49;819221.58;0.21;20.87;0.12;0.28;3.11;0.05;5.11;0.00;4772089.56;62.31;0.00;0.16;0.00;0.01
0.00;127.00;132.00;25695235.00;0.02;2.00;3.53;136.00;1.43;129.20;129.00;124.00;12.00;1.12;129.21;0.69;25695235.00;1.00;3.39;0.84;1171.34;0.76;0.90;1533.01;0.00;3.99;76.34;305.36;19.09;0.25;0.02;0.06;0.01;3.99;0.00;0.00;0.00;0.00;0.00;0.00;0.04;0.00;1.00;1.00;1.00;1.00;0.00;0.00;0.00;2.00;0.99;0.04;0.00;1.00;4.00;0.04;0.00;54.80;0.90;0.05;3.85;827.62;3310.32;206.94;0.29;4.06;4.82;0.08;0.04;140.42;0.09;0.19;0.06;2.50;0.63;0.19;1.75;589824.75;2359296.75;147456.75;0.81;2.50;0.63;0.75;0.75;0.75;0.81;0.00;441792.19;0.76;0.33;0.00;0.00;0.33
1.00;79.00;111.00;271523947.00;0.85;20.00;2.11;122.00;9.75;92.59;90.00;72.00;50.00;7.67;93.32;0.61;271523947.00;0.60;135.09;1.35;27128.87;0.87;0.54;18853.00;0.20;5.35;78.39;418.62;16.69;0.21;0.01;0.07;0.00;5.34;1.30;0.71;0.79;0.01;0.98;0.01;0.06;0.01;1.00;1.00;1.00;1.00;-0.93;0.89;0.01;2.27;0.60;0.91;0.99;0.73;4.54;0.90;0.20;366.31;0.53;0.26;5.53;3770.54;19855.30;810.11;0.22;6.69;17.71;0.03;0.02;1382.10;0.11;0.67;0.03;12.50;0.45;0.67;6.39;11730740.79;59445083.36;2584853.00;0.33;5.79;0.21;0.29;2.33;0.05;3.41;0.00;10490699.46;17.35;0.01;0.02;0.00;0.03
